Year,City,PMTen,PMTwoFive
2019,S.Korea(Seoul),42,25
2019,USA(LA),29,13.4
2019,Japan(Tokyo),16,10.5
2019,France(Paris),20,13
2019,UK(London),18,11
2018,S.Korea(Seoul),40,23
2018,USA(LA),33,13.3
2018,Japan(Tokyo),0,0
2018,France(Paris),21,14
2018,UK(London),17,10
2017,S.Korea(Seoul),44,25
2017,USA(LA),33,14.8
2017,Japan(Tokyo),17,12.8
2017,France(Paris),21,14
2017,UK(London),17,11
2016,S.Korea(Seoul),48,26
2016,USA(LA),34,14.7
2016,Japan(Tokyo),17,12.6
2016,France(Paris),22,14
2016,UK(London),20,12
2015,S.Korea(Seoul),45,23
2015,USA(LA),37,12.6
2015,Japan(Tokyo),19,13.8
2015,France(Paris),23,14
2015,UK(London),19,11
2014,S.Korea(Seoul),46,0
2014,USA(LA),30,15.2
2014,Japan(Tokyo),20,16
2014,France(Paris),22,15
2014,UK(London),20,15
2013,S.Korea(Seoul),45,0
2013,USA(LA),29,0
2013,Japan(Tokyo),21,15.8
2013,France(Paris),26,19
2013,UK(London),18,12
2012,S.Korea(Seoul),41,0
2012,USA(LA),30,12.7
2012,Japan(Tokyo),20,14.2
2012,France(Paris),26,16
2012,UK(London),19,16
2011,S.Korea(Seoul),47,0
2011,USA(LA),29,13.1
2011,Japan(Tokyo),21,15.7
2011,France(Paris),27,0
2011,UK(London),23,17
