Province,City,Year,Month,pmtwofive
Seoul,Seoul,2015,1,25
Seoul,Seoul,2015,2,30
Seoul,Seoul,2015,3,30
Seoul,Seoul,2015,4,21
Seoul,Seoul,2015,5,22
Seoul,Seoul,2015,6,20
Seoul,Seoul,2015,7,19
Seoul,Seoul,2015,8,22
Seoul,Seoul,2015,9,16
Seoul,Seoul,2015,10,24
Seoul,Seoul,2015,11,21
Seoul,Seoul,2015,12,28
Seoul,Seoul,2016,1,27
Seoul,Seoul,2016,2,23
Seoul,Seoul,2016,3,32
Seoul,Seoul,2016,4,30
Seoul,Seoul,2016,5,29
Seoul,Seoul,2016,6,28
Seoul,Seoul,2016,7,21
Seoul,Seoul,2016,8,22
Seoul,Seoul,2016,9,23
Seoul,Seoul,2016,10,20
Seoul,Seoul,2016,11,28
Seoul,Seoul,2016,12,30
Seoul,Seoul,2017,1,32
Seoul,Seoul,2017,2,28
Seoul,Seoul,2017,3,39
Seoul,Seoul,2017,4,26
Seoul,Seoul,2017,5,24
Seoul,Seoul,2017,6,22
Seoul,Seoul,2017,7,22
Seoul,Seoul,2017,8,13
Seoul,Seoul,2017,9,19
Seoul,Seoul,2017,10,15
Seoul,Seoul,2017,11,22
Seoul,Seoul,2017,12,32
Seoul,Seoul,2018,1,32
Seoul,Seoul,2018,2,30
Seoul,Seoul,2018,3,34
Seoul,Seoul,2018,4,26
Seoul,Seoul,2018,5,23
Seoul,Seoul,2018,6,24
Seoul,Seoul,2018,7,16
Seoul,Seoul,2018,8,10
Seoul,Seoul,2018,9,14
Seoul,Seoul,2018,10,15
Seoul,Seoul,2018,11,28
Seoul,Seoul,2018,12,24
Seoul,Seoul,2019,1,38
Seoul,Seoul,2019,2,35
Seoul,Seoul,2019,3,45
Seoul,Seoul,2019,4,21
Seoul,Seoul,2019,5,29
Seoul,Seoul,2019,6,20
Seoul,Seoul,2019,7,19
Seoul,Seoul,2019,8,16
Seoul,Seoul,2019,9,12
Seoul,Seoul,2019,10,15
Seoul,Seoul,2019,11,20
Seoul,Seoul,2019,12,28
Seoul,Seoul,2020,1,29
Seoul,Seoul,2020,2,28
Seoul,Seoul,2020,3,25
Seoul,Seoul,2020,4,21
Seoul,Seoul,2020,5,19
Busan,Busan,2015,1,27
Busan,Busan,2015,2,31
Busan,Busan,2015,3,27
Busan,Busan,2015,4,24
Busan,Busan,2015,5,31
Busan,Busan,2015,6,30
Busan,Busan,2015,7,21
Busan,Busan,2015,8,23
Busan,Busan,2015,9,16
Busan,Busan,2015,10,25
Busan,Busan,2015,11,23
Busan,Busan,2015,12,29
Busan,Busan,2016,1,33
Busan,Busan,2016,2,29
Busan,Busan,2016,3,32
Busan,Busan,2016,4,29
Busan,Busan,2016,5,31
Busan,Busan,2016,6,27
Busan,Busan,2016,7,17
Busan,Busan,2016,8,21
Busan,Busan,2016,9,21
Busan,Busan,2016,10,21
Busan,Busan,2016,11,31
Busan,Busan,2016,12,30
Busan,Busan,2017,1,31
Busan,Busan,2017,2,27
Busan,Busan,2017,3,34
Busan,Busan,2017,4,27
Busan,Busan,2017,5,29
Busan,Busan,2017,6,26
Busan,Busan,2017,7,23
Busan,Busan,2017,8,16
Busan,Busan,2017,9,23
Busan,Busan,2017,10,16
Busan,Busan,2017,11,27
Busan,Busan,2017,12,28
Busan,Busan,2018,1,28
Busan,Busan,2018,2,30
Busan,Busan,2018,3,26
Busan,Busan,2018,4,28
Busan,Busan,2018,5,24
Busan,Busan,2018,6,25
Busan,Busan,2018,7,23
Busan,Busan,2018,8,14
Busan,Busan,2018,9,14
Busan,Busan,2018,10,17
Busan,Busan,2018,11,26
Busan,Busan,2018,12,23
Busan,Busan,2019,1,29
Busan,Busan,2019,2,28
Busan,Busan,2019,3,30
Busan,Busan,2019,4,20
Busan,Busan,2019,5,25
Busan,Busan,2019,6,21
Busan,Busan,2019,7,18
Busan,Busan,2019,8,19
Busan,Busan,2019,9,13
Busan,Busan,2019,10,13
Busan,Busan,2019,11,17
Busan,Busan,2019,12,23
Busan,Busan,2020,1,21
