Province,City,Year,Month,PMTen
Seoul,Seoul,2011,1,44
Seoul,Seoul,2011,2,75
Seoul,Seoul,2011,3,65
Seoul,Seoul,2011,4,56
Seoul,Seoul,2011,5,72
Seoul,Seoul,2011,6,44
Seoul,Seoul,2011,7,28
Seoul,Seoul,2011,8,27
Seoul,Seoul,2011,9,29
Seoul,Seoul,2011,10,42
Seoul,Seoul,2011,11,38
Seoul,Seoul,2011,12,46
Seoul,Seoul,2012,1,60
Seoul,Seoul,2012,2,50
Seoul,Seoul,2012,3,46
Seoul,Seoul,2012,4,51
Seoul,Seoul,2012,5,52
Seoul,Seoul,2012,6,40
Seoul,Seoul,2012,7,28
Seoul,Seoul,2012,8,22
Seoul,Seoul,2012,9,27
Seoul,Seoul,2012,10,33
Seoul,Seoul,2012,11,42
Seoul,Seoul,2012,12,41
Seoul,Seoul,2013,1,64
Seoul,Seoul,2013,2,45
Seoul,Seoul,2013,3,55
Seoul,Seoul,2013,4,52
Seoul,Seoul,2013,5,55
Seoul,Seoul,2013,6,40
Seoul,Seoul,2013,7,34
Seoul,Seoul,2013,8,35
Seoul,Seoul,2013,9,28
Seoul,Seoul,2013,10,29
Seoul,Seoul,2013,11,42
Seoul,Seoul,2013,12,55
Seoul,Seoul,2014,1,57
Seoul,Seoul,2014,2,57
Seoul,Seoul,2014,3,60
Seoul,Seoul,2014,4,58
Seoul,Seoul,2014,5,63
Seoul,Seoul,2014,6,38
Seoul,Seoul,2014,7,38
Seoul,Seoul,2014,8,29
Seoul,Seoul,2014,9,29
Seoul,Seoul,2014,10,33
Seoul,Seoul,2014,11,45
Seoul,Seoul,2014,12,44
Seoul,Seoul,2015,1,49
Seoul,Seoul,2015,2,84
Seoul,Seoul,2015,3,71
Seoul,Seoul,2015,4,45
Seoul,Seoul,2015,5,45
Seoul,Seoul,2015,6,35
Seoul,Seoul,2015,7,30
Seoul,Seoul,2015,8,34
Seoul,Seoul,2015,9,28
Seoul,Seoul,2015,10,44
Seoul,Seoul,2015,11,33
Seoul,Seoul,2015,12,48
Seoul,Seoul,2016,1,50
Seoul,Seoul,2016,2,45
Seoul,Seoul,2016,3,64
Seoul,Seoul,2016,4,71
Seoul,Seoul,2016,5,56
Seoul,Seoul,2016,6,46
Seoul,Seoul,2016,7,33
Seoul,Seoul,2016,8,34
Seoul,Seoul,2016,9,37
Seoul,Seoul,2016,10,38
Seoul,Seoul,2016,11,52
Seoul,Seoul,2016,12,48
Seoul,Seoul,2017,1,53
Seoul,Seoul,2017,2,46
Seoul,Seoul,2017,3,60
Seoul,Seoul,2017,4,56
