Year,City,PMTwoFive
2019,South Korea(Seoul),25
2019,USA(LA),13.4
2019,Japan(Tokyo),10.5
2019,France(Paris),13
2019,UK(London),11
2018,South Korea(Seoul),23
2018,USA(LA),13.3
2018,France(Paris),14
2018,UK(London),10
2017,South Korea(Seoul),25
2017,USA(LA),14.8
2017,Japan(Tokyo),12.8
2017,France(Paris),14
2017,UK(London),11
2016,South Korea(Seoul),26
2016,USA(LA),14.7
2016,Japan(Tokyo),12.6
2016,France(Paris),14
2016,UK(London),12
2015,South Korea(Seoul),23
2015,USA(LA),12.6
2015,Japan(Tokyo),13.8
2015,France(Paris),14
2015,UK(London),11
2014,USA(LA),15.2
2014,Japan(Tokyo),16
2014,France(Paris),15
2014,UK(London),15
2013,Japan(Tokyo),15.8
2013,France(Paris),19
2013,UK(London),12
2012,USA(LA),12.7
2012,Japan(Tokyo),14.2
2012,France(Paris),16
2012,UK(London),16
2011,USA(LA),13.1
2011,Japan(Tokyo),15.7
2011,UK(London),17
2011,WHO Guideline Level,10
2012,WHO Guideline Level,10
2013,WHO Guideline Level,10
2014,WHO Guideline Level,10
2015,WHO Guideline Level,10
2016,WHO Guideline Level,10
2017,WHO Guideline Level,10
2018,WHO Guideline Level,10
2019,WHO Guideline Level,10
2011,USA Guideline Level,15
2012,USA Guideline Level,15
2013,USA Guideline Level,12
2014,USA Guideline Level,12
2015,USA Guideline Level,12
2016,USA Guideline Level,12
2017,USA Guideline Level,12
2018,USA Guideline Level,12
2019,USA Guideline Level,12
2015,South Korea Guideline Level,25
2016,South Korea Guideline Level,25
2017,South Korea Guideline Level,25
2018,South Korea Guideline Level,15
2019,South Korea Guideline Level,15
