Province,Year,pmtwofive
Seoul,2015,23.2
Seoul,2016,26.1
Seoul,2017,24.5
Seoul,2018,23
Seoul,2019,24.8
Seoul,2020,24.4
Busan,2015,25.6
Busan,2016,26.8
Busan,2017,25.6
Busan,2018,23.2
Busan,2019,21.3
Busan,2020,18.6
Daegu,2015,25.4
Daegu,2016,24.5
Daegu,2017,22.8
Daegu,2018,22.3
Daegu,2019,22.5
Daegu,2020,22
Incheon,2015,29.2
Incheon,2016,26.4
Incheon,2017,25
Incheon,2018,22.3
Incheon,2019,23.3
Incheon,2020,20.4
Gwangju,2015,26
Gwangju,2016,23.4
Gwangju,2017,24.2
Gwangju,2018,24
Gwangju,2019,23.5
Gwangju,2020,20.2
Daejeon,2015,28.3
Daejeon,2016,22.5
Daejeon,2017,21.1
Daejeon,2018,21.7
Daejeon,2019,22.3
Daejeon,2020,20.2
Ulsan,2015,24.7
Ulsan,2016,23.2
Ulsan,2017,24.8
Ulsan,2018,23.2
Ulsan,2019,20.3
Ulsan,2020,18.2
Sejong,2016,23.4
Sejong,2017,22.8
Sejong,2018,21.5
Sejong,2019,25.8
Sejong,2020,22.8
Gyeonggi-do,2015,25.8
Gyeonggi-do,2016,27.9
Gyeonggi-do,2017,27.2
Gyeonggi-do,2018,25.2
Gyeonggi-do,2019,26.0
Gyeonggi-do,2020,25.0
Gangwon-do,2015,26.5
Gangwon-do,2016,28.1
Gangwon-do,2017,25.6
Gangwon-do,2018,22.4
Gangwon-do,2019,21.3
Gangwon-do,2020,20.8
Chungcheongbuk-do,2015,36.0
Chungcheongbuk-do,2016,26.3
Chungcheongbuk-do,2017,27.1
Chungcheongbuk-do,2018,27.2
Chungcheongbuk-do,2019,28.3
Chungcheongbuk-do,2020,25.8
Chungcheongnam-do,2016,25.0
Chungcheongnam-do,2017,23.8
Chungcheongnam-do,2018,21.3
Chungcheongnam-do,2019,25.7
Chungcheongnam-do,2020,25.4
Jeollabuk-do,2015,34.0
Jeollabuk-do,2016,31.5
Jeollabuk-do,2017,28.5
Jeollabuk-do,2018,25.3
Jeollabuk-do,2019,25.8
Jeollabuk-do,2020,23.2
Jeollanam-do,2015,25.0
Jeollanam-do,2016,23.6
Jeollanam-do,2017,20.3
Jeollanam-do,2018,20.5
Jeollanam-do,2019,19.2
Jeollanam-do,2020,17.0
Gyeongsangbuk-do,2016,21.8
Gyeongsangbuk-do,2017,23.5
Gyeongsangbuk-do,2018,24.4
Gyeongsangbuk-do,2019,20.7
Gyeongsangbuk-do,2020,19.0
Gyeongsangnam-do,2015,25.5
Gyeongsangnam-do,2016,24.6
Gyeongsangnam-do,2017,22.8
Gyeongsangnam-do,2018,20.2
Gyeongsangnam-do,2019,18.6
Gyeongsangnam-do,2020,17.2
Jeju-do,2015,24.0
Jeju-do,2016,22.0
Jeju-do,2017,21.0
Jeju-do,2018,18.9
Jeju-do,2019,18.6
Jeju-do,2020,18.4
WHO Guideline Level,2015,10
WHO Guideline Level,2016,10
WHO Guideline Level,2017,10
WHO Guideline Level,2018,10
WHO Guideline Level,2019,10
WHO Guideline Level,2020,10
USA Guideline Level,2015,12
USA Guideline Level,2016,12
USA Guideline Level,2017,12
USA Guideline Level,2018,12
USA Guideline Level,2019,12
USA Guideline Level,2020,12
South Korea Guideline Level,2015,25
South Korea Guideline Level,2016,25
South Korea Guideline Level,2017,25
South Korea Guideline Level,2018,15
South Korea Guideline Level,2019,15
South Korea Guideline Level,2020,15
